CrashID,CrashDeathCount,CrashMonth,Latitude,Longitude,PersonAge,PersonAlcoholResult,PersonBloodAlcoholContentTestResult,PersonType
17379658,0,10,29.57908821,-98.64340192,22,NoData,NoData,1-DRIVER
17379658,0,10,29.57908821,-98.64340192,34,NoData,NoData,1-DRIVER
17379658,0,10,29.57908821,-98.64340192,29,NoData,NoData,1-DRIVER
17379658,0,10,29.57908821,-98.64340192,3,NoData,NoData,2-PASSENGER/OCCUPANT
17379801,0,10,29.58853995,-98.61861319,34,NoData,NoData,1-DRIVER
17385730,0,10,29.3824624,-98.70100275,18,NoData,NoData,1-DRIVER
17385730,0,10,29.3824624,-98.70100275,28,NoData,NoData,1-DRIVER
17385730,0,10,29.3824624,-98.70100275,1,NoData,NoData,2-PASSENGER/OCCUPANT
17385730,0,10,29.3824624,-98.70100275,0,NoData,NoData,2-PASSENGER/OCCUPANT
17385730,0,10,29.3824624,-98.70100275,37,NoData,NoData,1-DRIVER
17386090,0,10,29.59010291,-98.60525627,NoData,NoData,NoData,1-DRIVER
17386090,0,10,29.59010291,-98.60525627,21,NoData,NoData,1-DRIVER
17377616,0,11,29.58971642,-98.6085802,47,NoData,NoData,1-DRIVER
17379100,0,11,29.55255757,-98.66828664,18,NoData,NoData,1-DRIVER
17379100,0,11,29.55255757,-98.66828664,39,NoData,NoData,1-DRIVER
17379373,0,11,NoData,NoData,59,NoData,NoData,1-DRIVER
17379373,0,11,NoData,NoData,43,NoData,NoData,1-DRIVER
17379500,0,11,29.58993554,-98.60671116,NoData,NoData,NoData,1-DRIVER
17379500,0,11,29.58993554,-98.60671116,47,NoData,NoData,1-DRIVER
17379522,0,11,29.60560363,-98.52948554,NoData,NoData,NoData,1-DRIVER
17379522,0,11,29.60560363,-98.52948554,4,NoData,NoData,2-PASSENGER/OCCUPANT
17379522,0,11,29.60560363,-98.52948554,41,NoData,NoData,1-DRIVER
17379602,0,11,NoData,NoData,37,NoData,NoData,1-DRIVER
17379602,0,11,NoData,NoData,33,NoData,NoData,1-DRIVER
17380797,0,11,29.59105344,-98.59681195,20,NoData,NoData,1-DRIVER
17380797,0,11,29.59105344,-98.59681195,NoData,NoData,NoData,1-DRIVER
17380960,0,11,29.60064949,-98.41996854,23,NoData,NoData,1-DRIVER
17380960,0,11,29.60064949,-98.41996854,23,NoData,NoData,2-PASSENGER/OCCUPANT
17380960,0,11,29.60064949,-98.41996854,24,NoData,NoData,2-PASSENGER/OCCUPANT
17380960,0,11,29.60064949,-98.41996854,54,NoData,NoData,1-DRIVER
17387667,0,11,29.57901185,-98.34313617,32,NoData,NoData,1-DRIVER
17387667,0,11,29.57901185,-98.34313617,29,NoData,NoData,1-DRIVER
17387667,0,11,29.57901185,-98.34313617,26,NoData,NoData,2-PASSENGER/OCCUPANT
17387667,0,11,29.57901185,-98.34313617,26,NoData,NoData,1-DRIVER
17388060,0,11,29.58840768,-98.61981049,19,NoData,NoData,1-DRIVER
17388060,0,11,29.58840768,-98.61981049,21,NoData,NoData,2-PASSENGER/OCCUPANT
17388060,0,11,29.58840768,-98.61981049,38,NoData,NoData,1-DRIVER
17388060,0,11,29.58840768,-98.61981049,22,NoData,NoData,1-DRIVER
17388060,0,11,29.58840768,-98.61981049,27,NoData,NoData,1-DRIVER
17388060,0,11,29.58840768,-98.61981049,24,NoData,NoData,1-DRIVER
17390479,0,11,29.60907164,-98.46812522,22,NoData,NoData,1-DRIVER
17380546,0,11,29.60045759,-98.42251593,22,NoData,NoData,1-DRIVER
17380967,0,11,29.59004086,-98.60580092,27,NoData,NoData,1-DRIVER
